ip1,25819.02,2762635	
ip10,277.0,554	
ip100,4166.4,41664	
ip1000,31679.0,316790	
ip1001,29570.64,325277	
ip1002,24777.47,371662	
ip1003,28861.58,346339	
ip1004,23904.41,406375	
ip1005,31679.0,316790	
ip1006,31679.0,316790	
ip1007,24709.18,420056	
ip1008,35163.56,316472	
ip1009,31777.0,540209	
ip101,12550.0,163150	
ip1010,35163.56,316472	
ip1011,31679.0,316790	
ip1012,31032.17,372386	
ip1013,31679.0,316790	
ip1014,26236.69,419787	
ip1015,35163.56,316472	
ip1016,25869.25,413908	
ip1017,25274.38,404390	
ip1018,31679.0,316790	
ip1019,31679.0,316790	
ip102,37107.0,37107	
ip1020,31679.0,316790	
ip1021,35163.56,316472	
ip1022,31679.0,316790	
ip1023,31679.0,316790	
ip1024,31679.0,316790	
ip1025,31679.0,316790	
ip1026,31204.0,561672	
ip1027,31055.45,341610	
ip1028,28317.79,396449	
ip1029,31679.0,316790	
ip103,4234.1,42341	
ip1030,31679.0,316790	
ip1031,12550.0,12550	
ip1032,31679.0,316790	
ip1033,26366.88,421870	
ip1034,31679.0,316790	
ip1035,25173.89,226565	
ip1036,27521.06,440337	
ip1037,31679.0,316790	
ip1038,31679.0,316790	
ip1039,28538.53,428078	
ip104,4628.5,27771	
ip1040,35163.56,316472	
ip1041,31679.0,316790	
ip1042,31679.0,316790	
ip1043,41079.0,616185	
ip1044,29519.25,472308	
ip1045,35163.56,316472	
ip1046,35163.56,316472	
ip1047,35163.56,316472	
ip1048,29806.09,327867	
ip1049,31679.0,316790	
ip105,3882.75,15531	
ip1050,31679.0,316790	
ip1051,25196.0,403136	
ip1052,35163.56,316472	
ip1053,24604.33,221439	
ip1054,35163.56,316472	
ip1055,25697.56,231278	
ip1056,31679.0,316790	
ip1057,35163.56,316472	
ip1058,35163.56,316472	
ip1059,31679.0,316790	
ip106,21574.67,129448	
ip1060,31679.0,316790	
ip1061,31679.0,316790	
ip1062,31679.0,316790	
ip1063,35163.56,316472	
ip1064,25752.19,412035	
ip1065,32616.55,358782	
ip1066,35163.56,316472	
ip1067,31679.0,316790	
ip1068,28512.93,399181	
ip1069,31679.0,316790	
ip107,31679.0,316790	
ip1070,35163.56,316472	
ip1071,31679.0,316790	
ip1072,35163.56,316472	
ip1073,25666.0,359324	
ip1074,35163.56,316472	
ip1075,35163.56,316472	
ip1076,31679.0,316790	
ip1077,35163.56,316472	
ip1078,35163.56,316472	
ip1079,31679.0,316790	
ip108,1370.67,4112	
ip1080,28094.75,449516	
ip1081,31679.0,316790	
ip1082,24956.94,399311	
ip1083,35163.56,316472	
ip1084,35163.56,316472	
ip1085,31679.0,316790	
ip1086,35163.56,316472	
ip1087,31679.0,316790	
ip1088,35163.56,316472	
ip1089,35163.56,316472	
ip109,12550.0,138050	
ip1090,31679.0,316790	
ip1091,35163.56,316472	
ip1092,35163.56,316472	
ip1093,35163.56,316472	
ip1094,35163.56,316472	
ip1095,41879.67,125639	
ip1096,31679.0,316790	
ip1097,40416.0,40416	
ip1098,4729.0,4729	
ip1099,34704.0,381744	
ip11,6518.5,13037	
ip110,25101.0,25101	
ip1100,35163.56,316472	
ip1101,17581.78,316472	
ip1102,23398.12,397768	
ip1103,28828.0,317108	
ip1104,35163.56,316472	
ip1105,35163.56,316472	
ip1106,29806.09,327867	
ip1107,35163.56,316472	
ip1108,31679.0,316790	
ip1109,27861.06,445777	
ip111,81083.0,81083	
ip1110,35163.56,316472	
ip1111,35163.56,316472	
ip1112,1014416.33,6086498	
ip1113,31679.0,316790	
ip1114,31679.0,316790	
ip1115,24777.12,421211	
ip1116,31679.0,316790	
ip1117,24085.5,48171	
ip1118,31679.0,316790	
ip1119,31679.0,316790	
ip112,304336.38,2434691	
ip1120,31679.0,316790	
ip1121,0.0,0	
ip1122,31679.0,316790	
ip1123,32499.27,357492	
ip1124,330.5,661	
ip1125,141039.62,1833515	
ip1126,60799.57,851194	
ip1127,1190.5,2381	
ip1128,90714.25,1088571	
ip1129,14216.12,227458	
ip113,38496.0,38496	
ip1130,31679.0,316790	
ip1131,11586.0,11586	
ip1132,9966.5,19933	
ip1133,12550.0,12550	
